,Title,Brand,Model,Year,Price,Condition,Type,Engine_Size,Fuel_Type,Transmission,Mileage,Color,Additional
962,Hyundai Santa Fe,Hyundai,Santa Fe,2023,21000000,Б/у,кроссовер,2.5,бензин,КПП автомат,36000,белый,"литые диски, тонировка, панорамная кр..."
969,Changan X5 Plus,Changan,X5 Plus,2024,7350000,Б/у,кроссовер,1.5,бензин,КПП робот,25,серый,"металлик, Новый без пробег, тех паспорт 202..."
971,Chevrolet TrailBlazer,Chevrolet,TrailBlazer,2022,16500000,Б/у,внедорожник,3.6,бензин,КПП автомат,71000,белый,Не битый не крашенный. Дилерский с...
973,Kia Sorento,Kia,Sorento,2013,10000000,Б/у,кроссовер,3.5,бензин,КПП автомат,164000,серебристый,"металлик, литые диски, тониров..."
977,Dodge Stratus,Dodge,Stratus,2000,1650000,Б/у,седан,2.5,бензин,КПП автомат,163000,серебристый,"металлик, кожа, Есть не значительн..."
978,Mercedes-Benz S 320,Mercedes-Benz,S 320,1997,7000000,Б/у,седан,3.2,бензин,КПП автомат,400000,синий,"металлик, литые диски, тонировка, ксенон..."
982,Hyundai Sonata,Hyundai,Sonata,2020,11200000,Б/у,седан,2.5,бензин,КПП автомат,54000,Комплект зимних шин. Масла и фильтра заменены,в...
987,Kia Rio,Kia,Rio,2013,4800000,Б/у,седан,1.6,бензин,КПП автомат,196000,серый,"металлик, литые диски, тонировка, ветров..."
988,ГАЗ ГАЗель,ГАЗ,ГАЗель,2007,6800000,Б/у,фургон,2.9,газ-бензин,КПП механика,11111,белый,Только наличка жумыска дайын тұр об...
994,Kia Sorento,Kia,Sorento,2018,13500000,Б/у,кроссовер,2.4,бензин,КПП автомат,77760,белый,"литые диски, ветровики, кожа, кондици..."
998,Chevrolet Cruze,Chevrolet,Cruze,2012,4200000,Б/у,седан,1.8,бензин,КПП автомат,164000,тонировка,"ветровики, хрустальная оптика, комби..."
999,Lexus ES 250,Lexus,ES 250,2015,10300000,Б/у,седан,2.5,бензин,КПП автомат,213000,белый,"металлик, литые диски, тонировка, люк, б..."
1002,Mercedes-Benz G 550,Mercedes-Benz,G 550,2014,47850000,Б/у,внедорожник,5.5,бензин,КПП автомат,54000,черный,"металлик, литые диски, тонировка,..."
1003,ВАЗ (Lada) Largus,ВАЗ,(Lada) Largus,2020,6500000,Б/у,универсал,1.6,бензин,КПП механика,64000,черный,"тонировка, фаркоп, противотуманки,..."
1004,Toyota Camry,Toyota,Camry,2019,11600000,Б/у,седан,2.5,бензин,КПП автомат,99500,коричневый,"металлик, литые диски, тонировка, сп..."
1005,SsangYong Kyron,SsangYong,Kyron,2014,5200000,Б/у,внедорожник,2.3,бензин,КПП механика,400000,серый,"металлик, линзованная оптика, вел..."
1006,Toyota Camry,Toyota,Camry,2017,12060000,Б/у,седан,2.5,бензин,КПП автомат,154625,черный,"литые диски, тонировка, ветровики, днев..."
1007,Toyota Camry,Toyota,Camry,2015,10360000,Б/у,седан,2.5,бензин,КПП автомат,344029,белый,"литые диски, тонировка, ветровики, дневн..."
1008,Chevrolet Nexia,Chevrolet,Nexia,2022,4940000,Б/у,седан,1.5,бензин,КПП автомат,83269,белый,"тонировка, дневные ходовые огни, велюр, а..."
1009,Hyundai Accent,Hyundai,Accent,2021,7020000,Б/у,седан,1.6,бензин,КПП автомат,94554,серебристый,"тонировка, дневные ходовые огни, пр..."
1013,ВАЗ (Lada) Priora 2172,ВАЗ,(Lada) Priora 2172,2014,2850000,Б/у,хэтчбек,1.6,бензин,КПП механика,201059,белый,"литые диски, тонировка, ветровики, дн..."
1016,ВАЗ (Lada) 2114,ВАЗ,(Lada) 2114,2011,950000,Б/у,хэтчбек,1.6,бензин,КПП механика,333333,черный,"тонировка, дневные ходовые огни, вел..."
1017,Daewoo Nexia,Daewoo,Nexia,2011,1700000,Б/у,седан,1.5,бензин,КПП механика,77777,белый,"ветровики, ксенон, велюр, налог уплачен,..."
1018,Volkswagen Polo,Volkswagen,Polo,2019,6600000,Б/у,седан,1.6,бензин,КПП автомат,280032,белый,"тонировка, дневные ходовые огни, противо..."
1019,Chevrolet Cobalt,Chevrolet,Cobalt,2024,7300000,Б/у,седан,1.5,бензин,КПП автомат,13000,белый,"металлик, литые диски, тонировка, ветрови..."
1021,Hyundai Accent,Hyundai,Accent,2018,6890000,Б/у,седан,1.6,бензин,КПП автомат,202976,синий,"литые диски, тонировка, ветровики, дневн..."
1023,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2020,3170000,Б/у,седан,1.6,бензин,КПП механика,138841,белый,"литые диски, тонировка, ветровики, днев..."
1025,Mitsubishi Pajero,Mitsubishi,Pajero,2011,12500000,Б/у,внедорожник,3.5,газ-бензин,КПП автомат,250000,серебристый,"металлик, литые диски, т..."
1027,ВАЗ (Lada) 2110,ВАЗ,(Lada) 2110,2010,1100000,Б/у,седан,1.6,бензин,КПП механика,500000,металлик,Состояние хорошо.2005 г. Позвоните п...
1029,Toyota Camry,Toyota,Camry,2013,8200000,Б/у,седан,2.5,бензин,КПП автомат,300000,черный,"литые диски, люк, ветровики, линзованна..."
1030,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2013,2100000,Б/у,седан,1.6,бензин,КПП механика,408800,бордовый,"зимний режим, техосмотр пройден, вло..."
1032,Mercedes-Benz S 320,Mercedes-Benz,S 320,1997,3800000,Б/у,седан,3.2,бензин,КПП автомат,575000,хамелеон,"металлик, литые диски, тонировка, бик..."
1033,Hyundai Sonata,Hyundai,Sonata,2021,12000000,Б/у,седан,2.5,бензин,КПП автомат,69000,серый,"металлик, литые диски, тонировка, ветрови..."
1035,Daewoo Lanos,Daewoo,Lanos,1998,300000,Б/у,хэтчбек,1.5,бензин,КПП механика,258,серебристый,"металлик, Машина двигатель стук. До..."
1037,Mercedes-Benz E 280,Mercedes-Benz,E 280,2001,3800000,Б/у,седан,2.8,бензин,КПП автомат,230000,серебристый,Суйегі таза Май жемид каробка тепп...
1041,JAC J5,JAC,J5,2015,3300000,Б/у,седан,1.8,бензин,КПП автомат,122000,серебристый,"металлик, литые диски, тонировка,..."
1042,Toyota Corolla,Toyota,Corolla,2022,12500000,Б/у,седан,1.6,бензин,КПП вариатор,30000,черный,"металлик, тонировка, ксенон, хрустальна..."
1043,ВАЗ (Lada) Granta 2190,ВАЗ,(Lada) Granta 2190,2015,2750000,Б/у,седан,1.6,бензин,КПП механика,120000,белый,Продам Ладу Гранту в хорошем состоянии!...
1044,Lexus LX 570,Lexus,LX 570,2012,26000000,Б/у,внедорожник,5.7,бензин,КПП автомат,232000,серый,"металлик, литые диски, тонировка,..."
1046,Toyota Camry,Toyota,Camry,2002,4400000,Б/у,седан,2.4,бензин,КПП автомат,327702,черный,"тонировка, обвес, ветровики, велюр, кон..."
1049,ВАЗ (Lada) Kalina 2192,ВАЗ,(Lada) Kalina 2192,2014,2000000,Б/у,хэтчбек,1.6,бензин,КПП механика,400000,серебристый,"тонировка, ветровики, багажник,..."
1050,Kia Sorento,Kia,Sorento,2015,10500000,Б/у,кроссовер,2.4,бензин,КПП автомат,116000,коричневый,"металлик, литые диски, тонировк..."
1051,Nissan Altima,Nissan,Altima,2019,8555555,Б/у,седан,2.5,бензин,КПП вариатор,75000,черный,"металлик, 1N4BL4BV7LC171451. Два компле..."
1052,Toyota Camry,Toyota,Camry,2011,7500000,Б/у,седан,2.4,бензин,КПП автомат,224000,белый,"кожа, аудиосистема, bluetooth, полный эл..."
1056,Opel Vectra,Opel,Vectra,2006,3420000,Б/у,седан,1.8,бензин,КПП робот,198000,серебристый,"металлик, литые диски, тонировка, хр..."
1063,Toyota Corolla,Toyota,Corolla,2017,6800000,Б/у,седан,1.8,бензин,КПП вариатор,137000,белый,"металлик, литые диски, тонировка, ксено..."
1065,Chevrolet Aveo,Chevrolet,Aveo,2007,2890000,Б/у,седан,1.4,бензин,КПП механика,239000,красный,"литые диски, велюр, аудиосистема, CD,..."
1066,Hyundai Elantra,Hyundai,Elantra,2021,9000000,Б/у,седан,1.6,бензин,КПП автомат,71000,белый,"велюр, кондиционер, Машина полностью в ро..."
1069,Toyota Land Cruiser,Toyota,Land Cruiser,2020,41000000,Б/у,внедорожник,4.6,бензин,КПП автомат,98000,черный,"металлик, климат-контроль, Машина..."
1071,ВАЗ (Lada) Lada 2121,ВАЗ,(Lada) Lada 2121,2015,2400000,Б/у,внедорожник,1.7,бензин,КПП механика,110000,зеленый,Машина жаксы жүріп тұр Гур печк...
1072,Hyundai Accent,Hyundai,Accent,2014,5300000,Б/у,седан,1.6,бензин,КПП автомат,242000,серый,"велюр, аудиосистема, CD, CD-чейнджер, MP..."
1073,Nissan Almera,Nissan,Almera,2014,3650000,Б/у,седан,1.6,бензин,КПП механика,110000,серебристый,"металлик, дневные ходовые огни, п..."
1074,Li L9,Li,L9,2023,27000000,Б/у,кроссовер,1.5,бензин,КПП автомат,10000,серебристый,Всем ассалам алейкум! Машина в...
1075,ВАЗ (Lada) Priora 2171,ВАЗ,(Lada) Priora 2171,2013,2200000,Б/у,универсал,1.6,бензин,КПП механика,270000,черный,Газ бензин 2013г декабря полностью...
1078,Hyundai Porter,Hyundai,Porter,2019,8700000,Б/у,пикап,2.5,дизель,КПП автомат,159300,синий,"тонировка, хрустальная оптика, дневные х..."
